CUPS: , ES12345678912345678912
Fecha inicio : , 13/03/2022
Fecha fin : , 10/04/2022
Fecha y hora de extracción : , 10/04/2022 20:01:22
Tarifa : , 2.0TD

Fecha  , Hora  , Consumo (Wh) , Precio (€/Wh) , Coste por hora (€)
2022-03-13 , 00:00-01:00 , 221.0 , 0.0 , 0.0
2022-03-13 , 01:00-02:00 , 225.0 , 0.0 , 0.0
2022-03-13 , 02:00-03:00 , 210.0 , 0.0 , 0.0
2022-03-13 , 03:00-04:00 , 300.0 , 0.0 , 0.0
2022-03-13 , 04:00-05:00 , 249.0 , 0.0 , 0.0
2022-03-13 , 05:00-06:00 , 214.0 , 0.0 , 0.0
2022-03-13 , 06:00-07:00 , 220.0 , 0.0 , 0.0
2022-03-13 , 07:00-08:00 , 95.0 , 0.0 , 0.0
2022-03-13 , 08:00-09:00 , 47.0 , 0.0 , 0.0
2022-03-13 , 09:00-10:00 , 49.0 , 0.0 , 0.0
2022-03-13 , 10:00-11:00 , 62.0 , 0.0 , 0.0
2022-03-13 , 11:00-12:00 , 50.0 , 0.0 , 0.0
2022-03-13 , 12:00-13:00 , 61.0 , 0.0 , 0.0
2022-03-13 , 13:00-14:00 , 32.0 , 0.0 , 0.0
2022-03-13 , 14:00-15:00 , 59.0 , 0.0 , 0.0
2022-03-13 , 15:00-16:00 , 43.0 , 0.0 , 0.0
2022-03-13 , 16:00-17:00 , 51.0 , 0.0 , 0.0
2022-03-13 , 17:00-18:00 , 127.0 , 0.0 , 0.0
2022-03-13 , 18:00-19:00 , 61.0 , 0.0 , 0.0
2022-03-13 , 19:00-20:00 , 63.0 , 0.0 , 0.0
2022-03-13 , 20:00-21:00 , 136.0 , 0.0 , 0.0
2022-03-13 , 21:00-22:00 , 138.0 , 0.0 , 0.0
2022-03-13 , 22:00-23:00 , 151.0 , 0.0 , 0.0
2022-03-13 , 23:00-00:00 , 205.0 , 0.0 , 0.0

2022-03-14 , 00:00-01:00 , 210.0 , 0.0 , 0.0
2022-03-14 , 01:00-02:00 , 207.0 , 0.0 , 0.0
2022-03-14 , 02:00-03:00 , 1487.0 , 0.0 , 0.0
2022-03-14 , 03:00-04:00 , 1224.0 , 0.0 , 0.0
2022-03-14 , 04:00-05:00 , 242.0 , 0.0 , 0.0
2022-03-14 , 05:00-06:00 , 75.0 , 0.0 , 0.0
2022-03-14 , 06:00-07:00 , 43.0 , 0.0 , 0.0
2022-03-14 , 07:00-08:00 , 57.0 , 0.0 , 0.0
2022-03-14 , 08:00-09:00 , 109.0 , 0.0 , 0.0
2022-03-14 , 09:00-10:00 , 183.0 , 0.0 , 0.0
2022-03-14 , 10:00-11:00 , 50.0 , 0.0 , 0.0
2022-03-14 , 11:00-12:00 , 60.0 , 0.0 , 0.0
2022-03-14 , 12:00-13:00 , 142.0 , 0.0 , 0.0
2022-03-14 , 13:00-14:00 , 57.0 , 0.0 , 0.0
